use,used,used,using,menggunakan,REG,The costumes were not received soon enough to be used.,Regular: +d (drop e),Kostum tidak diterima cukup cepat untuk digunakan.
excel,excelled,excelled,excelling,unggul,REG,Mr. Wu would excel in the role of event organizer.,Regular: double l +ed,Pak Wu akan unggul dalam peran sebagai penyelenggara acara.
close,closed,closed,closing,menutup,REG,The northbound lane will be temporarily closed.,Regular: +d (drop e),Jalur ke utara akan ditutup sementara.
handle,handled,handled,handling,menangani,REG,Airline representatives must handle a wide range of passenger issues.,Regular: +d (drop e),Perwakilan maskapai harus menangani berbagai masalah penumpang.
delete,deleted,deleted,deleting,menghapus,REG,The meeting notes were accidentally deleted.,Regular: +d (drop e),Catatan rapat secara tidak sengaja terhapus.
predict,predicted,predicted,predicting,memprediksi,REG,The magazine predicts that the price of corn will rise.,Regular: +ed,Majalah itu memprediksi bahwa harga jagung akan naik.
need,needed,needed,needing,membutuhkan,REG,Anyone who still needs to take the fire safety training should do so.,Regular: +ed,Siapa pun yang masih perlu mengikuti pelatihan keselamatan kebakaran harus melakukannya.
begin,began,begun,beginning,memulai,IRR,Emerging technologies have already begun to transform the shipping industry.,Irregular! begin-began-begun. Double n: beginning,Teknologi baru telah mulai mengubah industri pengiriman.
transform,transformed,transformed,transforming,mengubah,REG,Technologies have begun to transform the shipping industry.,Regular: +ed,Teknologi telah mulai mengubah industri pengiriman.
outline,outlined,outlined,outlining,menguraikan,REG,The company handbook outlines the high standards.,Regular: +d (drop e),Buku panduan perusahaan menguraikan standar tinggi yang diharapkan.
meet,met,met,meeting,memenuhi/bertemu,IRR,Standards that employees are expected to meet every day.,Irregular! meet-met-met,Standar yang diharapkan dipenuhi karyawan setiap hari.
move,moved,moved,moving,memindahkan,REG,The board meeting will be moved to a date when all can attend.,Regular: +d (drop e),Rapat dewan akan dipindahkan ke tanggal ketika semua bisa hadir.
require,required,required,requiring,memerlukan,REG,The project required the collaboration of several teams.,Regular: +d (drop e),Proyek ini memerlukan kolaborasi beberapa tim.
send,sent,sent,sending,mengirim,IRR,We cannot send the store coupon booklet to the printers.,Irregular! send-sent-sent,Kami tidak dapat mengirim buku kupon toko ke percetakan.
approve,approved,approved,approving,menyetujui,REG,We cannot send it until it has been approved by Ms. Jeon.,Regular: +d (drop e),Kami tidak dapat mengirimnya sampai disetujui oleh Ms. Jeon.
look for,looked for,looked for,looking for,mencari,REG,We are looking for a new shipping company.,Phrasal verb: look for,Kami sedang mencari perusahaan pengiriman baru.
help,helped,helped,helping,membantu,REG,The brochure helps applicants understand the terms of their loans.,Regular: +ed,Brosur membantu pelamar memahami syarat pinjaman mereka.
pass,passed,passed,passing,lulus/melewati,REG,The project passed the review stage.,Regular: +ed (double s),Proyek tersebut lulus tahap peninjauan.
decide,decided,decided,deciding,memutuskan,REG,The team decided to proceed with the plan.,Regular: +d (drop e),Tim memutuskan untuk melanjutkan rencana tersebut.
perform,performed,performed,performing,melakukan/tampil,REG,The band performed at the event.,Regular: +ed,Band tampil di acara tersebut.
provide,provided,provided,providing,menyediakan,REG,The brochure provides supplemental information.,Regular: +d (drop e),Brosur menyediakan informasi tambahan.
understand,understood,understood,understanding,memahami,IRR,The brochure helps applicants understand the terms.,Irregular! understand-understood-understood,Brosur membantu pelamar memahami syarat-syaratnya.
rise,rose,risen,rising,naik/meningkat,IRR,The price of corn will rise 5 percent.,Irregular! rise-rose-risen,Harga jagung akan naik 5 persen.
recreate,recreated,recreated,recreating,membuat ulang,REG,Mr. Hahm was able to recreate the meeting notes.,Regular: +d (drop e),Pak Hahm mampu membuat ulang catatan rapat dari ingatannya.
plant,planted,planted,planting,menanam,REG,We will teach you how to plant a rain garden.,Regular: +ed,Kami akan mengajari Anda cara menanam taman hujan.
filter,filtered,filtered,filtering,menyaring,REG,A special soil mix to filter pollutants from rainwater.,Regular: +ed,Campuran tanah khusus untuk menyaring polutan dari air hujan.
improve,improved,improved,improving,meningkatkan,REG,Rain gardens improve drainage and protect rivers.,Regular: +d (drop e),Taman hujan meningkatkan drainase dan melindungi sungai.
protect,protected,protected,protecting,melindungi,REG,Rain gardens protect rivers and streams.,Regular: +ed,Taman hujan melindungi sungai dan aliran air.
renew,renewed,renewed,renewing,memperbarui,REG,Your library card must be renewed if you intend to keep your membership.,Regular: +ed,Kartu perpustakaan Anda harus diperbarui jika Anda ingin mempertahankan keanggotaan.
expire,expired,expired,expiring,kedaluwarsa,REG,Your library card will expire one month from today.,Regular: +d (drop e),Kartu perpustakaan Anda akan kedaluwarsa satu bulan dari hari ini.
complete,completed,completed,completing,menyelesaikan,REG,Failure to complete your renewal will result in expiration.,Regular: +d (drop e),Kegagalan menyelesaikan pembaruan akan mengakibatkan kedaluwarsa.
coordinate,coordinated,coordinated,coordinating,mengoordinasikan,REG,Thank you for coordinating our annual company retreat.,Regular: +d (drop e),Terima kasih telah mengoordinasikan retreat tahunan perusahaan kami.
impress,impressed,impressed,impressing,mengesankan,REG,Our employees were thoroughly impressed by the venue selection.,Regular: +ed,Karyawan kami sangat terkesan dengan pemilihan tempat.
exceed,exceeded,exceeded,exceeding,melampaui,REG,Your professionalism consistently exceeds our expectations.,Regular: +ed,Profesionalisme Anda secara konsisten melampaui ekspektasi kami.
benefit,benefited,benefited,benefiting,menguntungkan,REG,The auction benefits our Young Designers Award program.,Regular: +ed,Lelang ini menguntungkan program Young Designers Award kami.
follow,followed,followed,following,mengikuti,REG,Our attendees follow your work closely.,Regular: +ed,Peserta kami mengikuti pekerjaan Anda dengan seksama.
contribute,contributed,contributed,contributing,berkontribusi,REG,They loved the designs you contributed for this event.,Regular: +d (drop e),Mereka menyukai desain yang Anda kontribusikan untuk acara ini.
cancel,cancelled,cancelled,cancelling,membatalkan,REG,The band performance that night had been cancelled.,Regular: double l +ed (British),Penampilan band malam itu telah dibatalkan.
apologize,apologized,apologized,apologizing,meminta maaf,REG,The head chef came out to apologize.,Regular: +d (drop e),Kepala koki keluar untuk meminta maaf.
change,changed,changed,changing,mengubah,REG,Head Chef Adio Brown has changed the spices.,Regular: +d (drop e),Kepala Koki Adio Brown telah mengubah rempah-rempahnya.
supply,supplied,supplied,supplying,memasok,REG,Kitchen Swifts supplies menus recipes and ingredients.,Regular: y to i +ed,Kitchen Swifts memasok menu, resep, dan bahan-bahan.
choose,chose,chosen,choosing,memilih,IRR,We are honored that you chose us for a fourth year in a row.,Irregular! choose-chose-chosen,Kami merasa terhormat karena Anda memilih kami untuk tahun keempat berturut-turut.
deliver,delivered,delivered,delivering,mengirimkan,REG,A box is delivered weekly.,Regular: +ed,Hawson Furniture akan melakukan pengiriman di sisi timur kota pada hari Kamis.
raise,raised,raised,raising,menaikkan,REG,Current customers will see no price increase with the partnership.,Regular: +d (drop e),Pelanggan saat ini tidak akan melihat kenaikan harga dengan kemitraan ini.
reflect,reflected,reflected,reflecting,mencerminkan,REG,His cooking reflects his Filipino heritage.,Regular: +ed,Masakannya mencerminkan warisan Filipinanya.
travel,travelled,travelled,travelling,bepergian,REG,You can feel like you are travelling the world.,Regular: double l +ed (British),Anda bisa merasa seperti sedang bepergian keliling dunia.
fly,flew,flown,flying,terbang,IRR,It was a worthwhile treat before I flew back to Hong Kong.,Irregular! fly-flew-flown,Itu adalah pengalaman berharga sebelum saya terbang kembali ke Hong Kong.
book,booked,booked,booking,memesan,REG,It is usually fully booked for dinner.,Regular: +ed,Biasanya sudah penuh dipesan untuk makan malam.
arrange,arranged,arranged,arranging,mengatur,REG,The activities you arranged were impressive.,Regular: +d (drop e),Kegiatan yang Anda atur sangat mengesankan.
open,opened,opened,opening,membuka,REG,The recently opened Enriqua restaurant.,Regular: +ed,Restoran Enriqua yang baru dibuka.
drive,drove,driven,driving,mengemudi,IRR,I will drive my rental car to your house.,Irregular! drive-drove-driven,Saya akan mengemudi mobil sewaan ke rumah Anda.
hand,handed,handed,handing,menyerahkan,REG,I will hand deliver the items to you.,Regular: +ed,Saya akan menyerahkan barang-barang langsung kepada Anda.
damage,damaged,damaged,damaging,merusak,REG,If any damage occurs in transit the repair is expensive.,Regular: +d (drop e),Jika ada kerusakan saat pengiriman, perbaikannya mahal.
trust,trusted,trusted,trusting,mempercayai,REG,My policy is to hire a courier service I trust.,Regular: +ed,Kebijakan saya adalah menyewa jasa kurir yang saya percaya.
volunteer,volunteered,volunteered,volunteering,sukarela,REG,Truck drivers have kindly volunteered to transport donations.,Regular: +ed,Pengemudi truk dengan sukarela mengangkut donasi.
donate,donated,donated,donating,menyumbangkan,REG,Those wishing to donate surplus produce can visit the Web site.,Regular: +d (drop e),Mereka yang ingin menyumbangkan hasil panen berlebih dapat mengunjungi situs web.
yield,yielded,yielded,yielding,menghasilkan,REG,This season excellent weather has yielded a substantial harvest.,Regular: +ed,Cuaca musim ini yang sangat baik menghasilkan panen yang besar.
store,stored,stored,storing,menyimpan,REG,Consider storing your bag in a locker for just 2 dollars.,Regular: +d (drop e),Pertimbangkan menyimpan tas Anda di loker hanya dengan 2 dolar.
record,recorded,recorded,recording,merekam,REG,Audience members are not allowed to make a recording of the performance.,Regular: +ed,Penonton tidak diizinkan merekam pertunjukan.
distract,distracted,distracted,distracting,mengganggu,REG,Ringtones and lit screens are very distracting.,Regular: +ed,Nada dering dan layar menyala sangat mengganggu.
adhere,adhered,adhered,adhering,mematuhi,REG,We ask that you adhere to the following guidelines.,Regular: +d (drop e),Kami meminta Anda mematuhi panduan berikut.
refrain,refrained,refrained,refraining,menahan diri,REG,Please refrain from making phone calls at all times.,Regular: +ed,Harap menahan diri dari menelepon setiap saat.
purchase,purchased,purchased,purchasing,membeli,REG,Thank you for purchasing this item.,Regular: +d (drop e),Terima kasih telah membeli produk ini.
assemble,assembled,assembled,assembling,merakit,REG,Assemble the item on a soft surface.,Regular: +d (drop e),Rakit produk di permukaan yang lembut.
overtighten,overtightened,overtightened,overtightening,mengencangkan berlebihan,REG,Never overtighten any screws or bolts.,Regular: +ed,Jangan pernah mengencangkan sekrup atau baut secara berlebihan.
schedule,scheduled,scheduled,scheduling,menjadwalkan,REG,Please schedule meetings during the underlined hours.,Regular: +d (drop e),Harap jadwalkan rapat selama jam yang digarisbawahi.
accommodate,accommodated,accommodated,accommodating,menampung,REG,The space can accommodate up to 200 guests.,Regular: +d (drop e),Ruangan dapat menampung hingga 200 tamu.
renovate,renovated,renovated,renovating,merenovasi,REG,The Bryant Foyer was renovated just over a year ago.,Regular: +d (drop e),Bryant Foyer direnovasi lebih dari setahun yang lalu.
revolutionize,revolutionized,revolutionized,revolutionizing,merevolusi,REG,This restaurant has revolutionized the local food scene.,Regular: +d (drop e),Restoran ini telah merevolusi pemandangan kuliner lokal.
cater,catered,catered,catering,menyediakan makanan,REG,The on-site restaurant caters our events.,Regular: +ed,Restoran di lokasi melayani acara kami.
evaluate,evaluated,evaluated,evaluating,mengevaluasi,REG,The team will evaluate the new software.,Regular: +d (drop e),Tim akan mengevaluasi perangkat lunak baru.
implement,implemented,implemented,implementing,menerapkan,REG,The company will implement a new policy.,Regular: +ed,Perusahaan akan menerapkan kebijakan baru.
expedite,expedited,expedited,expediting,mempercepat,REG,Please remind him to expedite a summary to us.,Regular: +d (drop e),Tolong ingatkan dia untuk mempercepat pengiriman ringkasan kepada kami.
incorporate,incorporated,incorporated,incorporating,menggabungkan,REG,We need to incorporate its findings into the slides.,Regular: +d (drop e),Kami perlu menggabungkan temuannya ke dalam slide.
generate,generated,generated,generating,menghasilkan,REG,Invoices will be generated automatically each month.,Regular: +d (drop e),Faktur akan dibuat secara otomatis setiap bulan.
investigate,investigated,investigated,investigating,menyelidiki,REG,Please investigate the problem without delay.,Regular: +d (drop e),Tolong selidiki masalah ini tanpa penundaan.
